                                            Peter J. Rentfrow, Samuel D. Gosling, and Jeff Potter




TABLE 1
State Rankings and z Scores for Each Five-Factor Model (FFM) Personality Dimension

State                    Sample size               E                    A                    C            N            O
Alabama                    11,985             20 (0.22)            36 ( 0.27)            36 ( 0.53)   30 ( 0.26)   48 ( 1.32)
Alaska                      4,317             49 ( 1.63)           51 ( 4.33)            51 ( 3.00)   47 ( 1.20)   49 ( 1.37)
Arizona                    12,570             24 ( 0.03)           31 ( 0.06)             9 (1.06)    45 ( 1.09)   31 ( 0.02)
Arkansas                    4,424             31 ( 0.21)           41 ( 0.53)            37 ( 0.54)   10 (1.01)    27 (0.06)
California                 71,873             38 ( 0.57)           28 (0.04)             27 ( 0.13)   37 ( 0.53)    6 (1.05)
Colorado                   11,446             28 ( 0.19)           29 (0.03)             15 (0.69)    50 ( 1.97)    8 (0.97)
Connecticut                 6,836             33 ( 0.36)           43 ( 0.72)            46 ( 1.11)   15 (0.54)    12 (0.65)
Delaware                    1,881             21 (0.15)            37 ( 0.29)            34 ( 0.48)   19 (0.21)    42 ( 0.93)
District
of Columbia                 2,155              3 (1.73)            50 ( 2.13)            40 ( 0.61)   31 ( 0.35)    1 (3.26)
Florida                    27,424             10 (0.65)            14 (0.55)              8 (1.11)    36 ( 0.50)   13 (0.59)
Georgia                    18,807              6 (1.22)             8 (0.87)              3 (1.43)    33 ( 0.39)   20 (0.19)
Hawaii                      2,940             39 ( 0.58)           24 (0.17)             49 ( 1.57)   40 ( 0.74)   46 ( 1.28)
Idaho                       3,178             46 ( 1.22)           39 ( 0.45)            26 ( 0.09)   32 ( 0.36)   30 ( 0.02)
Illinois                   27,739              9 (0.80)            26 (0.07)             11 (0.90)    20 (0.21)    21 (0.17)
Indiana                    13,515             34 ( 0.36)           19 (0.38)             14 (0.71)    13 (0.88)    34 ( 0.18)
Iowa                        6,514             15 (0.45)            15 (0.54)             33 ( 0.44)   22 (0.15)    43 ( 0.97)
Kansas                      6,976             13 (0.56)            17 (0.47)              5 (1.24)    34 ( 0.44)   38 ( 0.52)
Kentucky                    7,827             36 ( 0.41)           21 (0.22)             19 (0.37)     7 (1.17)    45 ( 1.10)
Louisiana                   6,519             30 ( 0.20)           13 (0.55)             30 ( 0.24)    8 (1.14)    29 ( 0.01)
Maine                       3,540             11 (0.64)            46 ( 0.86)            50 ( 1.64)   12 (0.90)    35 ( 0.22)
Maryland                   12,286             51 ( 1.99)           38 ( 0.42)            35 ( 0.51)   17 (0.45)    10 (0.74)
Massachusetts              16,154             42 ( 0.81)           40 ( 0.51)            43 ( 0.75)   11 (0.98)     4 (1.20)
Michigan                   21,938             17 (0.37)            11 (0.69)             21 (0.21)    26 ( 0.09)   36 ( 0.30)
Minnesota                  14,532              5 (1.29)             2 (1.41)             22 (0.14)    41 ( 0.80)   40 ( 0.67)
Mississippi                 3,609             19 (0.34)             3 (1.39)             12 (0.79)     4 (1.50)    41 ( 0.80)
Missouri                   12,565             18 (0.35)            16 (0.51)             10 (0.97)    25 ( 0.09)   32 ( 0.04)
Montana                     1,945             43 ( 0.94)           42 ( 0.71)            29 ( 0.24)   39 ( 0.71)   16 (0.43)
Nebraska                    4,410              4 (1.71)            10 (0.74)              7 (1.15)    44 ( 1.00)   44 ( 1.07)
Nevada                      3,531             37 ( 0.55)           48 ( 1.41)            24 ( 0.06)   42 ( 0.83)    9 (0.94)
New Hampshire               3,255             50 ( 1.87)           30 ( 0.05)            44 ( 0.82)   14 (0.70)    14 (0.58)
New Jersey                 16,580             14 (0.54)            34 ( 0.17)            45 ( 1.03)    5 (1.47)    15 (0.49)
New Mexico                  4,077             22 (0.15)            33 ( 0.17)             1 (2.40)    29 ( 0.20)   23 (0.14)
